iter	Passed	Remaining
0	138	138292
1	139	69613
2	140	46728
3	141	35302
4	142	28397
5	143	23794
6	144	20516
7	145	18084
8	147	16199
9	148	14665
10	149	13407
11	150	12361
12	151	11486
13	152	10720
14	153	10062
15	154	9496
16	155	8992
17	156	8535
18	157	8123
19	158	7766
20	159	7441
21	160	7136
22	161	6869
23	162	6618
24	163	6387
25	164	6172
26	165	5976
27	166	5794
28	167	5619
29	168	5456
30	169	5304
31	170	5165
32	171	5031
33	172	4906
34	173	4787
35	174	4675
36	175	4569
37	176	4478
38	178	4386
39	178	4295
40	180	4211
41	181	4133
42	182	4055
43	183	3978
44	184	3907
45	185	3843
46	186	3777
47	187	3715
48	188	3654
49	189	3595
50	190	3540
51	191	3496
52	192	3444
53	193	3392
54	194	3346
55	195	3299
56	196	3252
57	197	3209
58	198	3166
59	199	3124
60	200	3083
61	201	3044
62	202	3006
63	203	2970
64	203	2932
65	204	2898
66	205	2867
67	207	2839
68	208	2810
69	209	2781
70	210	2751
71	211	2722
72	212	2694
73	213	2667
74	214	2640
75	214	2613
76	215	2587
77	216	2562
78	217	2538
79	218	2514
80	219	2490
81	220	2468
82	221	2445
83	222	2425
84	223	2404
85	224	2384
86	225	2364
87	226	2344
88	227	2324
89	228	2305
90	228	2286
91	229	2268
92	230	2250
93	231	2234
94	232	2218
95	233	2202
96	234	2185
97	235	2168
98	236	2154
99	237	2140
100	238	2125
101	239	2109
102	240	2093
103	241	2078
104	242	2063
105	242	2049
106	243	2034
107	244	2020
108	245	2006
109	246	1993
110	247	1979
111	248	1966
112	248	1953
113	249	1941
114	250	1929
115	251	1919
116	252	1906
117	253	1894
118	254	1882
119	255	1870
120	255	1858
121	256	1846
122	257	1835
123	258	1824
124	259	1814
125	260	1803
126	260	1792
127	261	1782
128	262	1772
129	263	1762
130	264	1752
131	265	1743
132	266	1737
133	267	1727
134	268	1719
135	269	1709
136	269	1700
137	270	1691
138	271	1683
139	272	1674
140	273	1665
141	274	1656
142	274	1647
143	275	1639
144	276	1631
145	277	1623
146	278	1615
147	279	1607
148	280	1600
149	281	1595
150	282	1587
151	283	1580
152	284	1572
153	284	1564
154	285	1557
155	286	1550
156	287	1543
157	288	1536
158	289	1529
159	289	1522
160	290	1514
161	291	1507
162	292	1501
163	293	1494
164	294	1488
165	295	1483
166	296	1477
167	297	1471
168	298	1465
169	298	1459
170	299	1453
171	300	1447
172	301	1441
173	302	1434
174	303	1428
175	303	1423
176	304	1417
177	305	1411
178	306	1405
179	307	1400
180	308	1394
181	309	1389
182	310	1386
183	311	1382
184	312	1376
185	313	1371
186	314	1366
187	315	1361
188	316	1356
189	316	1350
190	317	1346
191	318	1341
192	319	1336
193	320	1331
194	321	1326
195	322	1321
196	323	1317
197	324	1312
198	325	1309
199	326	1305
200	327	1300
201	327	1295
202	328	1290
203	329	1286
204	330	1281
205	331	1277
206	332	1272
207	332	1267
208	333	1263
209	334	1258
210	335	1254
211	336	1249
212	337	1245
213	338	1241
214	338	1237
215	339	1233
216	340	1230
217	341	1225
218	342	1221
219	343	1217
220	344	1213
221	345	1210
222	346	1206
223	347	1202
224	348	1198
225	348	1194
226	349	1190
